,Date,Nifty Value,PE Ratio,10_years_%_Change,monthly_%_Change,Residual_Corpus_monthly,Monthly_Netflow,Cummulative_Inflow,Residual_Corpus_10_years
109,2009-08-31,4662.1,21.1231,,0.005532249889462992,21020225.6858356,165924.4308019342,21920225.6858356,
110,2009-09-30,5083.95,24.9609,,0.09048497458226956,22872240.272732005,1952014.586896404,23872240.272732005,
111,2009-10-30,4711.7,23.0041,,-0.07322062569458787,21147520.528925616,-1624719.7438063885,22247520.528925616,
112,2009-11-30,5032.7,24.5717,,0.06812827641827801,22538264.65308147,1490744.1241558532,23738264.65308147,
113,2009-12-31,5201.05,23.5181,,0.03345122896258479,23242197.304411028,803932.6513295599,24542197.304411028,
114,2010-01-29,4882.05,22.0796,,-0.06133376914276922,21766665.74057159,-1375531.563839439,23166665.74057159,
115,2010-02-26,4922.3,22.2589,,0.00824448745916162,21896120.743297495,229455.00272590533,23396120.743297495,
116,2010-03-31,5249.1,20.4396,,0.0663917274444874,23299842.02377809,1503721.2804805941,24899842.02377809,
117,2010-04-30,5278.0,20.8588,,0.005505705740031619,23378124.09775023,178282.07397214495,25078124.09775023,
118,2010-05-31,5086.3,20.0678,,-0.03632057597574834,22479017.16528742,-799106.9324628103,24279017.16528742,
119,2010-06-30,5312.5,20.1119,,0.044472406267817455,23428713.149163324,1049695.9838759045,25328713.149163324,
120,2010-07-30,5367.6,20.3552,3.0271598454439737,0.010371764705882525,23621710.24930806,292997.100144738,25621710.24930806,34271598.45443974
121,2010-08-31,5402.4,20.452,2.8751882935227027,0.006483344511513334,23724857.93480547,203147.68549740966,25824857.93480547,32751882.935227025
122,2010-09-30,6029.95,20.8381,3.741831478787402,0.11616133570265075,26430769.121868107,2805911.1870626356,28630769.121868107,41418314.78787402
123,2010-10-29,6017.7,20.6564,4.13127264975485,-0.0020315259662185836,26327074.328089904,-3694.7937782034132,28627074.328089904,45312726.4975485
124,2010-11-30,5862.7,20.1303,3.623033552813153,-0.025757349153331055,25598958.682435594,-628115.6456543102,27998958.682435594,40230335.52813153
125,2010-12-31,6134.5,19.9627,3.854972102409877,0.046360891739301024,26735749.23455083,1236790.5521152366,29235749.23455083,42549721.02409877
126,2011-01-31,5505.9,17.9149,3.013924327476853,-0.10246963892737804,23946146.664033484,-2689602.570517347,26546146.664033484,34139243.27476853
127,2011-02-28,5333.25,17.2906,2.9464629273346157,-0.03135727129079713,23145260.84672017,-700885.8173133146,25845260.84672017,33464629.273346156
128,2011-03-31,5833.75,18.0537,4.080778609998258,0.09384521633150511,25267332.85792974,2222072.0112095694,28067332.85792974,44807786.099982575
129,2011-04-29,5749.5,17.8024,4.109531215285492,-0.014441825583886847,24852426.443825506,-314906.4141042345,27752426.443825506,45095312.15285492
130,2011-05-31,5560.15,17.1863,3.760810000856237,-0.032933298547699885,23983954.06411625,-768472.3797092567,26983954.06411625,41608100.00856237
131,2011-06-30,5647.4,16.5074,4.097391461323223,0.01569202269722947,24310310.815659672,426356.7515434212,27410310.815659672,44973914.61323223
132,2011-07-29,5482.0,16.0241,4.109754392505943,-0.029287813861245793,23548314.957581602,-661995.8580780708,26748314.957581602,45097543.92505943
133,2011-08-30,5001.0,14.6312,3.7459074733096083,-0.08774170010944915,21432145.76849062,-2016169.1890909807,24732145.76849062,41459074.733096085
134,2011-09-30,4943.25,14.8083,4.409257536794879,-0.011547690461907623,21134653.983221605,-197491.78526901294,24534653.983221605,48092575.36794879
135,2011-10-31,5326.6,15.9898,4.480605000514457,0.07755019470995816,22723650.514748033,1688996.5315264284,26223650.514748033,48806050.00514457
136,2011-11-30,4832.05,14.5114,3.5279951272079835,-0.09284534224458385,20563865.405659936,-2059785.109088095,24163865.405659936,39279951.27207983
137,2011-12-30,4624.3,13.8885,3.366460507058213,-0.04299417431524921,19629738.99181367,-834126.4138462662,23329738.99181367,37664605.07058213
138,2012-01-31,5199.25,15.5019,3.8121153223194035,0.12433233137988453,22020350.20504449,2490611.2132308176,25820350.20504449,42121153.22319403
139,2012-02-29,5385.2,16.0588,3.715380237292588,0.035764773765446956,22757903.04836382,837552.8433193297,26657903.04836382,41153802.37292588
140,2012-03-30,5295.55,15.7656,3.688194413704573,-0.01664747827378732,22329041.351809226,-328861.6965545949,26329041.351809226,40881944.13704573
141,2012-04-30,5248.15,15.0182,3.839234670355002,-0.008950911614468815,22079176.07623336,-149865.27557586366,26179176.07623336,42392346.70355002
142,2012-05-31,4924.25,14.0931,3.786401632970451,-0.061716985985537653,20666515.875764247,-1312660.2004691125,24866515.875764247,41864016.32970451
143,2012-06-29,5278.9,15.105,3.9904518812629988,0.0720211199675076,22104941.494963065,1538425.619198817,26404941.494963065,43904518.81262999
144,2012-07-31,5229.0,15.254,4.453123370528731,-0.009452726893860341,21845989.52000642,-158951.9749566468,26245989.52000642,48531233.70528731
145,2012-08-31,5258.5,15.344899999999999,4.20334454779339,0.005641614075349022,21919236.161972415,173246.64196599543,26419236.161972415,46033445.4779339
146,2012-09-28,5703.3,16.9329,4.921507553340602,0.084586859370543,23723315.508714896,1904079.3467424812,28323315.508714896,53215075.53340602
147,2012-10-31,5619.7,15.6134,4.906768972041203,-0.01465818035172628,23325574.871447247,-297740.637267648,28025574.871447247,53067689.72041202
148,2012-11-30,5879.85,16.2646,4.599057277531781,0.04629250671744045,24355374.202871878,1129799.3314246319,29155374.202871878,49990572.77531781
149,2012-12-31,5905.1,16.1269,4.400182898948332,0.004294327236239015,24409964.149660062,154589.9467881858,29309964.149660062,48001828.98948332
150,2013-01-31,6034.75,16.4819,4.7923405480635415,0.02195559770367983,24895899.502491247,585935.3528311835,29895899.502491247,51923405.48063541
151,2013-02-28,5693.05,15.5349,4.353629866466052,-0.056622063880028106,23436242.290510427,-1359657.2119808192,28536242.290510427,47536298.66466052
152,2013-03-28,5682.55,15.4675,4.809190349621754,-0.001844354080852928,23343017.561402068,6775.27089163912,28543017.561402068,52091903.49621754
153,2013-04-30,5930.2,16.5487,5.348910657887694,0.04358078679466071,24310324.63288955,1067307.0714874843,29610324.63288955,57489106.578876935
154,2013-05-31,5985.95,16.6683,4.945520460866111,0.009401032005665888,24488866.772831473,278542.1399419225,29888866.772831473,53455204.60866111
155,2013-06-28,5842.2,16.2723,4.1511704800952245,-0.02401456744543473,23850777.230053045,-538089.542778427,29350777.230053045,45511704.80095225
156,2013-07-31,5742.0,15.4658,3.8420963865581657,-0.01715107322583953,23391710.80328722,-359066.4267658259,28991710.80328722,42420963.865581654
157,2013-08-30,5471.8,14.7407,3.0336146843094616,-0.047056774642981525,22240972.339503136,-1050738.463784083,27940972.339503136,34336146.84309462
158,2013-09-30,5735.3,15.3478,3.0472090889845465,0.04815599985379593,23262008.600232527,1121036.2607293923,29062008.600232527,34472090.88984546
159,2013-10-31,6299.15,16.7765,3.048557105212417,0.098312206859275,25498948.001700822,2336939.401468294,31398948.001700822,34485571.05212417
160,2013-11-29,6176.1,16.4574,2.8236186348862407,-0.01953438162291732,24950841.820452675,-448106.18124814885,30950841.820452675,32236186.348862406
161,2013-12-31,6304.0,16.1964,2.353637451788802,0.020708861579313842,25417545.349999785,566703.5295471095,31517545.349999785,27536374.51788802
162,2014-01-31,6089.5,15.6296,2.3648293963254594,-0.03402601522842641,24502687.564851474,-814857.7851483115,30702687.564851474,27648293.963254593
163,2014-02-28,6276.95,16.041,2.486613342220741,0.030782494457673115,25206941.40901461,804253.8441631364,31506941.40901461,28866133.422207408
164,2014-03-31,6704.2,16.4484,2.7836221005700095,0.06806649726379854,26872689.61746003,1765748.208445423,33272689.61746003,31836221.005700096
165,2014-04-30,6696.4,16.4299,2.728300206001893,-0.0011634497777512909,26791424.592697017,18734.975236986706,33291424.592697017,31283002.060018927
166,2014-05-30,7229.95,17.7059,3.873247506066325,0.07967713995579717,28876088.67958452,2184664.0868875063,35476088.679584526,42732475.06066325
167,2014-06-30,7611.35,18.0903,4.055359989373008,0.05275278528897154,30349382.785683945,1573294.106099424,37049382.78568395,44553599.893730074
168,2014-07-31,7721.3,18.3521,3.7303191815230043,0.014445532001550188,30737795.76594184,488412.9802578938,37537795.76594184,41303191.81523004
169,2014-08-28,7954.35,18.7958,3.8747357131913596,0.03018274124823539,31615546.702086367,977750.9361445279,38515546.702086374,42747357.131913595
170,2014-09-30,7964.8,18.3308,3.563047837295904,0.0013137465663441983,31607081.518009327,91534.81592296061,38607081.518009335,39630478.37295904
171,2014-10-31,8322.2,19.2168,3.6573395265543684,0.0448724387304138,32975368.346873395,1468286.828864068,40075368.3468734,40573395.265543684
172,2014-11-28,8588.25,19.8384,3.3844445578925875,0.0319687101968229,33979548.34118808,1104179.9943146827,41179548.34118809,37844445.57892588
173,2014-12-31,8282.7,19.3627,2.98111031002163,-0.03557767880534446,32720634.884354617,-1158913.4568334646,40020634.88435462,33811103.1002163
174,2015-01-30,8808.9,20.6181,3.2811527993779164,0.06353000833061673,34749377.09114073,2128742.206786117,42149377.09114074,36811527.99377917
175,2015-02-28,8901.85,20.815,3.232426007369547,0.01055182826459622,35066046.55050814,416669.45936741115,42566046.55050815,36324260.073695466
176,2015-03-31,8491.0,22.3897,3.171149264362734,-0.04615332767907798,33397631.81365274,-1568414.7368554045,40997631.81365275,35711492.643627346
177,2015-04-30,8181.5,21.6268,3.300394218134034,-0.03645035920386286,32130276.137486737,-1167355.676166,39830276.13748675,37003942.18134034
178,2015-05-29,8433.65,22.5688,3.0399750904169958,0.03081953187068387,33070516.206919882,1040240.0694331459,40870516.20691989,34399750.90416996
179,2015-06-30,8368.5,21.6067,2.768576060524183,-0.007725006373278442,32765046.25845382,-205469.94846606412,40665046.25845383,31685760.605241828
180,2015-07-31,8532.85,22.0366,2.690200233533711,0.019639122901356387,33358523.02879222,693476.7703384018,41358523.02879223,30902002.33533711
181,2015-08-31,7971.3,20.5994,2.3427547019478747,-0.06581036816538444,31113186.34681395,-2145336.6819782713,39213186.34681396,27427547.019478746
182,2015-09-30,7948.9,20.2027,2.055623894825863,-0.0028100811661837533,30975755.767840803,-37430.57897314738,39175755.76784082,24556238.94825863
183,2015-10-30,8065.8,20.5002,2.4019274974166476,0.014706437368692482,31381298.779988468,505543.01214766566,39681298.77998848,28019274.974166475
184,2015-11-30,7935.25,20.1659,1.9918936751814496,-0.016185623248778813,30823372.900878213,-457925.87911025557,39223372.90087823,23918936.751814496
185,2015-12-31,7946.35,20.7102,1.8014136891646544,0.0013988217132416825,30816489.304167308,93116.40328909371,39316489.30416732,22014136.891646545
186,2016-01-29,7563.55,19.7129,1.5202592382792979,-0.04817306058756543,29281964.697821595,-1434524.6063457138,37881964.69782161,19202592.38279298
187,2016-02-29,6987.05,18.2043,1.2724330829023973,-0.07622082223294613,27000069.27195753,-2181895.4258640637,35700069.27195755,16724330.829023974
188,2016-03-31,7738.4,20.5684,1.2742942792905319,0.10753465339449408,29853512.362744816,2953443.0907872836,38653512.36274483,16742942.792905318
189,2016-04-29,7849.8,19.4514,1.2064875196761862,0.014395740721596217,30233275.78634786,479763.4236030416,39133275.78634787,16064875.196761861
190,2016-05-31,8160.1,20.2354,1.65710424773286,0.03952966954572101,31378387.187466837,1245111.4011189796,40378387.18746685,20571042.4773286
191,2016-06-30,8287.75,20.6849,1.649367048142702,0.015643190647173455,31819245.280441206,540858.0929743686,40919245.280441225,20493670.48142702
192,2016-07-29,8638.5,21.5603,1.7483138203105115,0.04232149859732748,33115883.424945418,1396638.1445042114,42315883.42494544,21483138.203105114
193,2016-08-31,8786.2,21.9577,1.573654764345763,0.017097875788620875,33632094.68637558,616211.2614301656,42932094.6863756,19736547.64345763
194,2016-09-30,8611.15,22.0019,1.3997185375097536,-0.01992328879379035,32912032.751198817,-620061.9351767626,42312032.75119884,17997185.375097536
195,2016-10-30,8625.7,22.039,1.3038113298255927,0.0016896697885881995,32917643.218619544,105610.467420726,42417643.21861957,17038113.298255928
196,2016-11-30,8224.5,21.0207,1.0797825262359337,-0.046512167128465065,31336572.295759927,-1481070.9228596168,40936572.29575995,14797825.262359338
197,2016-12-30,8185.8,20.9218,1.0637858007260994,-0.004705453219040701,31139119.520777144,-97452.7749827852,40839119.520777166,14637858.007260995
198,2017-01-31,8561.3,21.4793,1.0969701423077862,0.0458721200127048,32517536.948524192,1478417.4277470477,42317536.948524214,14969701.423077863
199,2017-02-28,8879.6,22.2696,1.3708648172376043,0.03717893310595377,33676504.279503755,1258967.330979561,43576504.27950378,17708648.172376044
200,2017-03-31,9173.75,21.714,1.4005311980740798,0.03312649218433261,34742088.73531438,1165584.4558106249,44742088.7353144,18005311.9807408
201,2017-04-28,9304.05,22.0217,1.2759974559064555,0.014203569968660457,35185550.42352383,543461.688209448,45285550.42352384,16759974.559064556
202,2017-05-31,9621.25,22.6251,1.2396876018436611,0.03409268006943211,36335120.137179896,1249569.7136560695,46535120.13717991,16396876.01843661
203,2017-06-30,9520.9,22.3883,1.2047796586619732,-0.010430037677017112,35906143.46515017,-328976.6720297295,46206143.465150185,16047796.586619733
204,2017-07-31,10077.1,23.6962,1.2250902547004205,0.058418846957745574,37953738.96508364,2147595.499933464,48353738.96508365,16250902.547004206
205,2017-08-31,9917.9,23.3218,1.2217517921146954,-0.01579819590953757,37304138.36141379,-549600.6036698411,47804138.36141381,16217517.921146953
206,2017-09-29,9788.6,22.7346,0.9493960787437641,-0.013037034049546703,36767803.03940704,-436335.32200675295,47367803.03940705,13493960.78743764
207,2017-10-31,10335.3,23.5665,0.7515527950310559,0.05585068344809252,38771309.968042776,2103506.9286357365,49471309.96804279,11515527.950310558
208,2017-11-30,10226.55,23.3186,0.7745954622359115,-0.010522190937853781,38313350.84164832,-357959.1263944597,49113350.84164833,11745954.622359116
209,2017-12-29,10530.7,23.8994,0.7154888736845535,0.029741212823484187,39402836.3630106,1189485.5213622795,50302836.363010615,11154888.736845534
210,2018-01-31,11027.7,23.8705,1.146531839725934,0.0471953431395824,41212466.7458357,1909630.3828251003,52212466.745835714,15465318.397259342
211,2018-02-28,10492.85,22.7386,1.008777639513736,-0.04850059395884909,39163637.63015335,-1948829.115682348,50263637.630153365,14087776.39513736
212,2018-03-28,10113.7,21.9169,1.136170662160735,-0.03613412943099348,37698493.67903686,-1365143.9511164878,48898493.67903688,15361706.62160735
213,2018-04-30,10739.35,22.491,1.078892351768327,0.06186163323017291,39980584.06833943,2382090.38930257,51280584.068339445,14788923.517683271
214,2018-05-31,10736.15,22.4842,1.2045029876183238,-0.0002979696164107093,39918671.06904071,38087.000701280784,51318671.06904072,16045029.876183238
215,2018-06-29,10714.3,22.4226,1.651693457573845,-0.002035180208920351,39787429.37971459,-31241.68932611303,51287429.37971461,20516934.57573845
216,2018-07-31,11356.5,23.9453,1.6209626236167045,0.059938586748551126,42122231.667092465,2434802.287377875,53722231.66709248,20209626.236167043
217,2018-08-31,11680.5,24.6285,1.67901376146789,0.028529916787742637,43273975.43146863,1251743.7643761658,54973975.43146864,20790137.6146789
218,2018-09-28,10930.45,22.5643,1.7875267775170869,-0.0642138607080176,40445186.40083013,-2728789.0306385024,52245186.40083014,21875267.77517087
219,2018-10-31,10386.6,21.2753,2.5994593845300806,-0.04975549954484948,38382815.94727227,-1962370.4535578557,50282815.947272286,29994593.845300805
