,Date,Nifty Value,PE Ratio,10_years_%_Change,monthly_%_Change,Inflow_Rate,Residual_Corpus_monthly,Monthly_Netflow,Cummulative_Inflow,Residual_Corpus_10_years
207,2017-10-31,10335.3,23.5665,0.7515527950310559,0.05585068344809252,6.0,54089923.36022482,2913806.1885997336,58689923.36022481,11515527.950310558
208,2017-11-30,10226.55,23.3186,0.7745954622359115,-0.010522190937853781,6.0,53470778.85881466,-519144.5014101631,58170778.85881465,11745954.622359116
209,2017-12-29,10530.7,23.8994,0.7154888736845535,0.029741212823484187,6.0,55011064.67269212,1640285.8138774657,59811064.67269211,11154888.736845534
210,2018-01-31,11027.7,23.8705,1.146531839725934,0.0471953431395824,6.0,57557330.74639358,2646266.073701464,62457330.746393576,15465318.397259342
211,2018-02-28,10492.85,22.7386,1.008777639513736,-0.04850059395884909,6.0,54715766.01850757,-2741564.7278860155,59715766.01850756,14087776.39513736
212,2018-03-28,10113.7,21.9169,1.136170662160735,-0.03613412943099348,6.0,52688659.447278865,-1927106.5712287072,57788659.44727886,15361706.62160735
213,2018-04-30,10739.35,22.491,1.078892351768327,0.06186163323017291,6.0,55898065.973395914,3309406.52611705,61098065.97339591,14788923.517683271
214,2018-05-31,10736.15,22.4842,1.2045029876183238,-0.0002979696164107093,6.0,55831410.048119724,33344.0747238067,61131410.04811972,16045029.876183238
215,2018-06-29,10714.3,22.4226,1.651693457573845,-0.002035180208920351,6.0,55667783.06735367,-63626.98076605007,61067783.067353666,20516934.57573845
216,2018-07-31,11356.5,23.9453,1.6209626236167045,0.059938586748551126,6.0,58954431.31183577,3386648.2444821037,64454431.311835766,20209626.236167043
217,2018-08-31,11680.5,24.6285,1.67901376146789,0.028529916787742637,9.0,60561396.331431136,1756965.0195953636,66211396.33143113,20790137.6146789
218,2018-09-28,10930.45,22.5643,1.7875267775170869,-0.0642138607080176,6.0,56622515.26312157,-3838881.068309567,62372515.26312156,21875267.77517087
219,2018-10-31,10386.6,21.2753,2.5994593845300806,-0.04975549954484948,6.0,53755233.73071909,-2767281.5324024777,59605233.73071908,29994593.845300805
220,2018-11-30,10876.75,22.2626,2.947860331748394,0.047190610979531256,6.0,56241976.05381923,2586742.3231001412,62191976.053819224,33478603.31748394
221,2018-12-31,10862.55,23.8693,2.670834530186033,-0.001305537040016569,6.0,56118550.07087725,-23425.9829419859,62168550.07087724,30708345.30186033
222,2019-01-31,10830.95,23.7999,2.7675490468902186,-0.002909077518630343,6.0,55905296.85848793,-113253.21238932025,62055296.85848792,31675490.468902186
223,2019-02-28,10792.5,23.7154,2.9051616521629002,-0.0035500117718206825,6.0,55656832.39653316,-148464.46195476197,61906832.396533154,33051616.521629002
224,2019-03-29,11623.9,25.8509,2.8477631208725733,0.07703497799397718,9.0,59869355.25541457,4362522.858881408,66269355.25541456,32477631.20872573
225,2019-04-30,11748.15,25.7389,2.3817844240705823,0.010689183492631482,9.0,60434309.77932523,714954.5239106673,66984309.779325224,27817844.24070582
226,2019-05-31,11922.8,26.1215,1.6799132379550232,0.014866170418321056,9.0,61257736.52761829,973426.7482930557,67957736.52761827,20799132.379550233
227,2019-06-28,11788.85,25.4648,1.747279252406143,-0.011234777065789792,9.0,60494519.51417561,-613217.0134426795,67344519.5141756,21472792.52406143
228,2019-07-31,11118.0,23.6526,1.3979553322045963,-0.056905465757898344,6.0,57002050.70542117,-3392468.8087544334,63952050.70542116,17979553.322045963
229,2019-08-30,11023.25,23.451,1.3644387722271079,-0.00852221622593996,6.0,56466266.90398758,-435783.8014335927,63516266.903987564,17644387.722271077
230,2019-09-30,11474.45,24.2969,1.2569950530591374,0.04093166715805241,9.0,58702525.346559346,2386258.44257177,65902525.34655933,16569950.530591374
231,2019-10-31,11877.45,25.3647,1.520841734405841,0.03512150909193901,9.0,60689246.62423831,2136721.277678964,68039246.6242383,19208417.34405841
232,2019-11-29,12056.05,25.7093,1.3955431478133011,0.015036897650589909,9.0,61526824.61421839,987577.9899800806,69026824.61421838,17955431.47813301
233,2019-12-31,12168.45,25.3833,1.3396141163803463,0.009323119927339585,9.0,62025446.578845136,648621.9646267472,69675446.57884513,17396141.163803466
234,2020-01-31,11962.1,25.272100000000002,1.4502207064655215,-0.016957788378963667,9.0,60898632.18165036,-976814.3971947718,68698632.18165036,18502207.064655215
235,2020-02-28,11201.75,23.5587,1.2757146049610952,-0.06356325394370554,6.0,56977716.959463805,-3820915.2221865607,64877716.9594638,16757146.049610952
236,2020-03-31,8597.75,19.5069,0.6379474576594082,-0.23246367755038277,6.0,43682467.336642034,-13195249.62282177,51682467.33664203,10379474.57659408
237,2020-04-30,9859.9,22.3706,0.8681129215611973,0.14680003489284976,6.0,50045055.06586686,6462587.729224821,58145055.06586685,12681129.215611974
238,2020-05-29,9580.3,21.7074,0.8835499282386015,-0.0283572855708476,6.0,48575913.147955276,-1369141.9179115798,56775913.14795527,12835499.282386014
239,2020-06-30,10302.1,26.7436,0.9392188235294119,0.07534210828470944,9.0,52160724.85637716,3734811.7084218874,60510724.856377155,13392188.235294119
240,2020-07-31,11073.45,28.1737,1.0630169908338925,0.0748730841284786,9.0,55991159.19675111,3980434.340373952,64491159.1967511,14630169.908338925
241,2020-08-31,11387.5,28.9959,1.1078594698652453,0.028360628349791472,9.0,57504103.65360418,1662944.456853067,66154103.65360417,15078594.698652454
242,2020-09-30,11247.55,27.9579,0.8652808066401876,-0.012289791437980258,9.0,56722390.212873384,-631713.4407307939,65522390.21287338,12652808.066401877
243,2020-10-30,11642.4,28.9394,0.9346926566628446,0.03510542295877772,9.0,58638653.71252914,2066263.499655754,67588653.71252914,13346926.566628447
244,2020-11-27,12968.95,32.2368,1.212112166749109,0.1139412835841409,9.0,65245017.184180655,6756363.47165152,74345017.18418066,16121121.66749109
245,2020-12-31,13981.75,33.2749,1.279199608770071,0.07809421734219035,9.0,70265275.73665701,5170258.552476348,79515275.73665701,16791996.08770071
246,2021-01-29,13634.6,32.4338,1.47636172106286,-0.024828794678777633,9.0,68445673.63234386,-1669602.1043131526,77845673.63234386,18763617.2106286
247,2021-02-26,14529.15,34.5618,1.7242581915342425,0.06560881874055702,9.0,72861313.42726363,4565639.794919771,82411313.42726363,21242581.915342424
248,2021-03-31,14690.7,31.6548,1.5182258410113563,0.01111902623346861,9.0,73596460.28266636,885146.855402723,83296460.28266636,19182258.410113562
249,2021-04-30,14631.1,31.514,1.5447604139490392,-0.0040569884348601315,9.0,73222880.29445294,-223579.98821342038,83072880.29445294,19447604.139490392
250,2021-05-17,14808.9,31.6145,1.6633993687220672,0.012152196348873323,9.0,74037699.11302118,964818.8185682393,84037699.11302118,20633993.68722067
